Month,Europe,Global,London
2025-01,2352593.28,1748450.83,4825104.44
2025-02,2898375.43,0.0,7500139.65
2025-03,4552084.19,880352.43,6394410.85
2025-04,2515251.16,717673.2,7862441.82
2025-05,2311214.11,979361.49,8800853.55
2025-06,2038109.01,461647.68,6740493.2
2025-07,1573528.25,2062962.4,5939200.88
2025-08,4902099.61,2565144.46,3014314.48
2025-09,1615276.87,3913660.87,5741576.65
2025-10,3954091.07,302985.2,5946771.76
2025-11,626898.96,676912.26,6767322.16
2025-12,1801042.15,1625601.02,8403251.52
2026-01,2792594.26,1132077.17,7438409.06
2026-02,956458.89,0.0,357198.66
